"CM,20200226,6,3,0,0,3"
"CN,20200226,7,7,0,0,0"
"CT,20200226,31,20,0,0,11"
"EX,20200226,1,0,1,0,0"
"GA,20200226,3,3,0,0,0"
"IB,20200226,1,0,1,0,0"
"MC,20200226,1,0,1,0,0"
"MD,20200226,68,68,0,0,0"
"ML,20200226,0,0,0,0,0"
"NC,20200226,5,2,3,0,0"
"PV,20200226,10,10,0,0,0"
"RI,20200226,4,4,0,0,0"
"VC,20200226,9,8,1,0,0"
"AN,20200227,11,7,4,0,0"
"AR,20200227,0,0,0,0,0"
"AS,20200227,0,0,0,0,0"
"CB,20200227,0,0,0,0,0"
"CE,20200227,0,0,0,0,0"
"CL,20200227,7,6,1,0,0"
"CM,20200227,9,2,0,0,7"
"CN,20200227,1,1,0,0,0"
"CT,20200227,15,12,0,0,3"
"EX,20200227,3,1,2,0,0"
"GA,20200227,7,7,0,0,0"
"IB,20200227,4,4,0,0,0"
"MC,20200227,1,1,0,0,0"
"MD,20200227,94,94,0,0,0"
"ML,20200227,0,0,0,0,0"
"NC,20200227,5,4,1,0,0"
"PV,20200227,14,13,0,0,1"
"RI,20200227,9,8,1,0,0"
"VC,20200227,15,15,0,0,0"
"AN,20200228,8,7,1,0,0"
"AR,20200228,4,4,0,0,0"
"AS,20200228,1,1,0,0,0"
"CB,20200228,0,0,0,0,0"
"CE,20200228,0,0,0,0,0"
"CL,20200228,11,8,3,0,0"
"CM,20200228,13,4,1,0,8"
"CN,20200228,8,7,0,0,1"
"CT,20200228,35,28,0,1,6"
"EX,20200228,7,4,3,0,0"
"GA,20200228,6,6,0,0,0"
"IB,20200228,4,1,0,0,3"
"MC,20200228,3,1,2,0,0"
"MD,20200228,162,162,0,0,0"
"ML,20200228,0,0,0,0,0"
"NC,20200228,3,2,1,0,0"
"PV,20200228,33,31,0,0,2"
"RI,20200228,10,10,0,0,0"
"VC,20200228,28,22,5,0,1"
"AN,20200229,9,8,1,0,0"
"AR,20200229,6,6,0,0,0"
